"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 11:25:30 IST 2023","Sat Jul 29 11:25:37 IST 2023","7199","","","","",""," @Web Client App Login for adidas original",""
"passed","Sat Jul 29 11:25:30 IST 2023","Sat Jul 29 11:25:35 IST 2023","4968","","","","",""," @Web More Validations",""
"passed","Sat Jul 29 11:25:30 IST 2023","Sat Jul 29 11:25:37 IST 2023","6944","","","","",""," @Web Browser Context Playwright test",""
"passed","Sat Jul 29 11:25:37 IST 2023","Sat Jul 29 11:25:42 IST 2023","4932","","","","",""," @Web Client App Login for zara coat 3",""
